timestamp,sampleHour,domain,slot,port,sensor,avg_power_W,avg_voltage_V,avg_current_A,port_status
2026-08-12 00:32:12,2026-08-12 00:00:00,1,4,1,Airmar WS200,1.02,13.47,0.07,1
2026-08-12 00:32:12,2026-08-12 00:00:00,1,4,2,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,4,3,lightBar,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,4,4,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,4,5,airmarWaterspeedDevice,1.81,13.44,0.13,1
2026-08-12 00:32:12,2026-08-12 00:00:00,1,4,6,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,7,1,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,7,2,pCO2,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,7,3,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,7,4,AIS,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,7,5,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,7,6,,0.0,0.0,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,13,1,,0.04,16.33,0.0,1
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,1,CCU: UNKNOWN,0.29,16.33,0.01,32769
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,2,,0.18,16.32,0.01,32769
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,3,VMC,4.45,16.33,0.27,32769
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,106,CCU: Tegra TX1 SOM module,1.98,16.32,0.12,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,107,,0.0,5.05,0.0,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,108,"CCU: mSATA Drive, SDCARD, discrete ICs",0.13,3.28,0.03,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,110,"CCU: UARTs, HS/LS USB Hubs, Ethernet",1.23,3.4,0.36,0
2026-08-12 00:32:12,2026-08-12 00:00:00,1,32,111,,0.0,0.0,0.0,0
2026-08-12 00:32:13,2026-08-12 00:00:00,3,1,1,GPSWaves,0.33,16.33,0.02,1
2026-08-12 00:32:13,2026-08-12 00:00:00,3,1,5,,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,1,GPSWaves,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,2,Iridium,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,3,SMC,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,4,CR6,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,5,,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,6,,0.0,0.0,0.0,0
2026-08-12 00:32:14,2026-08-12 00:00:00,2,1,7,ADCP,0.0,0.0,0.0,0
