timeStamp,latitude,longitude,air_temperature,air_pressure,wind_speed_kt,wind_speed_std,wind_dir_deg,wind_dir_std_deg,gust_hour,gust_minute,gust_speed_kt,gust_dir_deg,num_valid_wind_samples,wind_speed_ms
2026-07-03 08:40:00,-38.4757266666667,11.5478466666667,16.900000000000002,1015.1,4.3,3.8000000000000003,140.70000000000002,40.400000000000006,8,39,6.9,138.4,90,2.2121092
2026-07-03 08:50:00,-38.4756083333333,11.5470816666667,17.0,1014.8000000000001,6.7,5.300000000000001,151.9,25.400000000000002,8,49,12.0,124.2,600,3.4467748
2026-07-03 09:00:00,-38.4756483333333,11.5461516666667,17.400000000000002,1014.8000000000001,5.4,6.5,144.20000000000002,31.3,8,52,12.200000000000001,196.3,599,2.7779976000000004
2026-07-03 09:10:00,-38.4756783333333,11.5452,18.3,1014.9000000000001,2.8000000000000003,2.2,128.9,75.0,9,1,5.5,191.60000000000002,600,1.4404432000000003
2026-07-03 09:20:00,-38.4755433333333,11.5420516666667,18.1,1014.4000000000001,4.0,4.9,124.2,64.0,9,14,12.3,123.80000000000001,600,2.057776
2026-07-03 09:30:00,-38.4757433333333,11.5415966666667,17.8,1014.7,5.6000000000000005,10.0,162.8,46.300000000000004,9,28,11.8,163.70000000000002,600,2.8808864000000005
2026-07-03 09:40:00,-38.47582,11.5415616666667,18.1,1014.8000000000001,5.300000000000001,11.100000000000001,156.70000000000002,55.800000000000004,9,38,14.4,172.70000000000002,600,2.7265532000000006
2026-07-03 09:50:00,-38.4758616666667,11.5415183333333,18.3,1014.9000000000001,4.6000000000000005,14.8,161.9,73.2,9,47,15.8,200.70000000000002,600,2.3664424000000004
2026-07-03 10:00:00,-38.4758366666667,11.5415483333333,18.2,1015.0,5.1000000000000005,7.0,150.1,53.1,9,53,11.100000000000001,15.8,600,2.6236644000000005
2026-07-03 10:10:00,-38.475825,11.5415566666667,18.900000000000002,1015.3000000000001,2.5,1.9000000000000001,146.70000000000002,75.4,10,4,6.1000000000000005,148.5,600,1.28611
2026-07-03 11:00:00,-38.47654,11.5341283333333,18.3,1014.8000000000001,5.0,5.5,140.70000000000002,41.400000000000006,10,58,13.4,177.8,600,2.57222
2026-07-03 11:10:00,-38.476765,11.5316816666667,17.900000000000002,1014.6,7.5,15.8,150.3,30.700000000000003,11,4,17.7,158.0,600,3.85833
2026-07-03 11:20:00,-38.4770433333333,11.5295316666667,18.400000000000002,1014.5,3.8000000000000003,6.7,118.7,59.2,11,10,13.100000000000001,48.300000000000004,600,1.9548872000000002
2026-07-03 13:40:00,-38.445775,11.571165,15.3,1015.7,15.9,3.7,285.3,21.400000000000002,13,33,20.1,291.8,600,8.1796596
2026-07-03 13:50:00,-38.44416,11.5784866666667,15.3,1015.4000000000001,15.700000000000001,4.6000000000000005,257.2,20.900000000000002,13,49,20.8,254.10000000000002,600,8.0767708
2026-07-03 14:10:00,-38.444565,11.5779033333333,15.0,1014.3000000000001,17.5,4.800000000000001,253.5,21.0,14,6,22.400000000000002,240.60000000000002,600,9.00277
2026-07-03 15:50:00,-38.4446066666667,11.5779183333333,14.700000000000001,1015.4000000000001,14.200000000000001,3.4000000000000004,258.40000000000003,15.200000000000001,15,42,17.900000000000002,263.90000000000003,600,7.3051048000000005
2026-07-03 16:00:00,-38.4442,11.5782533333333,14.700000000000001,1015.3000000000001,13.8,4.7,266.1,23.200000000000003,15,54,18.3,258.2,600,7.0993272
2026-07-03 16:10:00,-38.4444916666667,11.5771966666667,14.8,1015.5,13.9,4.4,258.3,11.700000000000001,16,4,19.6,276.5,600,7.150771600000001
2026-07-03 16:20:00,-38.4444816666667,11.5779366666667,14.3,1015.4000000000001,12.200000000000001,5.5,258.0,25.700000000000003,16,13,17.0,257.2,600,6.2762168
2026-07-03 16:30:00,-38.4439916666667,11.578485,14.4,1015.6,13.0,4.3,246.60000000000002,16.2,16,22,17.2,229.8,600,6.687772
2026-07-03 16:40:00,-38.44456,11.5780533333333,14.5,1015.5,14.5,3.3000000000000003,239.60000000000002,12.5,16,33,18.1,237.60000000000002,600,7.4594380000000005
2026-07-03 16:50:00,-38.44402,11.5784666666667,14.600000000000001,1015.6,13.100000000000001,4.3,247.8,17.3,16,45,17.0,239.8,599,6.739216400000001
