timestamp,total_output_power_W
2026-08-12 00:00:00,11.46
2026-08-12 01:00:00,11.53
2026-08-12 02:00:00,11.37
2026-08-12 03:00:00,11.31
2026-08-12 04:00:00,11.26
2026-08-12 05:00:00,11.77
2026-08-12 06:00:00,11.459999999999999
2026-08-12 07:00:00,11.48
2026-08-12 08:00:00,11.4
2026-08-12 09:00:00,11.48
2026-08-12 10:00:00,0.0
2026-08-12 11:00:00,21.9
2026-08-12 12:00:00,17.439999999999998
2026-08-12 13:00:00,17.45
2026-08-12 14:00:00,17.55
2026-08-12 15:00:00,17.35
2026-08-12 16:00:00,17.13
2026-08-12 17:00:00,17.53
2026-08-12 18:00:00,17.29
2026-08-12 19:00:00,17.25
2026-08-12 20:00:00,17.32
2026-08-12 21:00:00,17.24
2026-08-12 22:00:00,17.32
2026-08-12 23:00:00,17.16
2026-08-13 00:00:00,17.23
2026-08-13 01:00:00,17.189999999999998
2026-08-13 02:00:00,17.14
2026-08-13 03:00:00,17.18
2026-08-13 04:00:00,0.0
2026-08-13 05:00:00,17.35
2026-08-13 06:00:00,0.0
