timeStamp,solar_power_W
2026-07-03 09:32:36,17.509999999999998
2026-07-03 10:32:38,22.06
2026-07-03 11:32:38,23.71
2026-07-03 12:32:37,25.47
2026-07-03 13:32:16,25.35
2026-07-03 14:32:16,16.68
2026-07-03 15:32:16,8.76
2026-07-03 16:32:16,0.86
2026-07-04 06:32:16,0.06
2026-07-04 07:32:16,4.04
2026-07-04 08:32:16,18.0
2026-07-04 09:32:16,31.73
2026-07-04 10:32:16,36.05
2026-07-04 11:32:16,46.49
2026-07-04 12:32:16,37.66
2026-07-04 13:32:16,26.34
2026-07-04 14:32:16,8.9
2026-07-04 15:32:16,4.1
2026-07-04 16:32:17,0.26
2026-07-05 10:32:16,33.46
2026-07-05 11:32:16,55.59
2026-07-05 12:32:16,38.42
2026-07-05 13:32:16,28.59
2026-07-05 14:32:16,20.29
2026-07-05 15:32:15,8.33
2026-07-05 16:32:16,0.77
2026-07-06 06:32:16,0.04
2026-07-06 07:32:16,2.53
2026-07-06 08:32:16,8.68
2026-07-06 09:32:16,15.260000000000002
2026-07-06 10:32:16,30.17
2026-07-06 11:32:16,28.310000000000002
2026-07-06 12:32:16,23.87
2026-07-06 13:32:16,33.63
2026-07-06 14:32:16,22.58
2026-07-06 15:32:16,9.21
2026-07-06 16:32:16,1.24
2026-07-07 06:32:16,0.2
2026-07-07 07:32:16,7.4399999999999995
2026-07-07 08:32:16,23.98
2026-07-07 09:32:16,40.29
2026-07-07 10:32:16,50.709999999999994
2026-07-07 11:32:16,50.71
2026-07-07 12:32:16,53.459999999999994
2026-07-07 13:32:16,35.28
2026-07-07 14:32:16,27.71
2026-07-07 15:32:16,15.55
2026-07-07 16:32:16,1.55
2026-07-08 06:32:16,0.24
2026-07-08 07:32:16,7.75
2026-07-08 08:32:16,21.369999999999997
2026-07-08 09:32:16,35.8
2026-07-08 10:32:16,50.67
2026-07-08 11:32:16,59.66
2026-07-08 12:32:16,64.37
2026-07-08 13:32:16,60.97
2026-07-08 14:32:16,44.93
2026-07-08 15:32:16,15.209999999999999
2026-07-08 16:32:16,1.48
2026-07-09 06:32:16,0.03
2026-07-09 07:32:16,2.51
2026-07-09 08:32:16,12.65
2026-07-09 09:32:16,25.1
2026-07-09 10:32:16,29.28
2026-07-09 11:32:16,38.339999999999996
2026-07-09 12:32:16,32.75
2026-07-09 13:32:16,34.49
2026-07-09 14:32:16,33.06
2026-07-09 15:32:16,17.92
2026-07-09 16:32:16,1.8599999999999999
2026-07-10 06:32:16,0.06
2026-07-10 07:32:16,4.18
2026-07-10 08:32:16,21.759999999999998
2026-07-10 09:32:16,36.879999999999995
2026-07-10 10:32:16,40.11
2026-07-10 11:32:16,56.86
2026-07-10 12:32:16,34.269999999999996
2026-07-10 13:32:16,67.98
2026-07-10 14:32:16,27.22
2026-07-10 15:32:16,10.92
2026-07-10 16:32:16,1.25
2026-07-11 06:32:16,0.16999999999999998
2026-07-11 07:32:16,6.960000000000001
2026-07-11 08:32:16,24.94
2026-07-11 09:32:16,46.56999999999999
2026-07-11 10:32:16,61.0
2026-07-11 11:32:16,73.28
2026-07-11 12:32:16,66.53
2026-07-11 13:32:16,66.97
2026-07-11 14:32:16,24.73
2026-07-11 15:32:16,6.5600000000000005
2026-07-11 16:32:16,1.98
2026-07-12 06:32:16,0.25
2026-07-12 07:32:16,9.09
2026-07-12 08:32:16,24.96
2026-07-12 09:32:16,40.6
2026-07-12 10:32:16,64.21000000000001
2026-07-12 11:32:16,71.24
2026-07-12 12:32:15,59.31
2026-07-12 13:32:16,58.269999999999996
2026-07-12 14:32:16,43.92
2026-07-12 15:32:16,18.33
2026-07-12 16:32:16,2.5300000000000002
2026-07-13 06:32:16,0.22000000000000003
2026-07-13 07:32:16,7.25
2026-07-13 08:32:16,26.03
2026-07-13 09:32:16,49.15
2026-07-13 10:32:16,68.51
2026-07-13 11:32:16,85.21000000000001
2026-07-13 12:32:16,78.47999999999999
2026-07-13 13:32:16,69.14
2026-07-13 14:32:16,41.400000000000006
2026-07-13 15:32:16,17.22
2026-07-13 16:32:16,2.95
2026-07-14 06:32:16,0.31
2026-07-14 07:32:16,4.54
