timestamp,total_output_power_W
2026-08-12 00:00:00,7.68
2026-08-12 01:00:00,8.7
2026-08-12 02:00:00,20.4
2026-08-12 03:00:00,20.48
2026-08-12 04:00:00,20.240000000000002
2026-08-12 05:00:00,8.8
2026-08-12 06:00:00,8.71
2026-08-12 08:00:00,8.08
2026-08-12 10:00:00,20.15
2026-08-12 11:00:00,19.83
2026-08-12 12:00:00,19.77
2026-08-12 13:00:00,17.68
2026-08-12 14:00:00,20.29
2026-08-12 15:00:00,19.91
2026-08-12 16:00:00,19.75
2026-08-12 17:00:00,8.12
2026-08-12 18:00:00,8.12
2026-08-12 21:00:00,7.42
2026-08-12 22:00:00,8.12
2026-08-12 23:00:00,8.11
2026-08-13 00:00:00,8.13
2026-08-13 01:00:00,19.83
2026-08-13 02:00:00,19.77
2026-08-13 03:00:00,19.76
2026-08-13 04:00:00,19.82
2026-08-13 05:00:00,19.2
2026-08-13 06:00:00,16.38
